arquivo_existe_no_banco,id_pedido,tipo_de_processo,cnpj,gestao_creditos_id,status_pedido,path_s3_recibo,path_s3_detalhamento,
True,18044,385334238730102511180667,ressarcimento,33227596000116,908,sucesso,25084515000148/pedidos/33227596000116/ressarcimento/recibo_385334238730102511180667.pdf,25084515000148/pedidos/33227596000116/ressarcimento/385334238730102511180667.pdf
True,18024,287410452730102511194220,ressarcimento,33227596000116,908,sucesso,25084515000148/pedidos/33227596000116/ressarcimento/recibo_287410452730102511194220.pdf,25084515000148/pedidos/33227596000116/ressarcimento/287410452730102511194220.pdf
True,18023,427216522530102511191990,ressarcimento,33227596000116,908,sucesso,25084515000148/pedidos/33227596000116/ressarcimento/recibo_427216522530102511191990.pdf,25084515000148/pedidos/33227596000116/ressarcimento/427216522530102511191990.pdf
False,,141722779030102513197344,compensacao,45462544000103,,,,
False,,042929429430102513193017,compensacao,45462544000103,,,,
False,,086728419930102513198664,compensacao,45462544000103,,,,
False,,269020921930102513191704,compensacao,45462544000103,,,,
True,18785,372974584730102511196591,ressarcimento,15346045000190,928,sucesso,25084515000148/pedidos/15346045000190/ressarcimento/recibo_372974584730102511196591.pdf,25084515000148/pedidos/15346045000190/ressarcimento/372974584730102511196591.pdf
False,,305526227530102513197972,compensacao,37173124000189,,,,
False,,362005059030102513197333,compensacao,37173124000189,,,,
False,,327626550830102513199570,compensacao,37173124000189,,,,
False,,279627490730102513192831,compensacao,37173124000189,,,,
False,,191185652230102513195980,compensacao,37173124000189,,,,
False,,357137302830102513190758,compensacao,37173124000189,,,,
False,,110454648830102513197969,compensacao,37173124000189,,,,
False,,191973869630102513195100,compensacao,37173124000189,,,,
False,,331217474230102513193601,compensacao,37173124000189,,,,
True,18897,034331786430102511192143,ressarcimento,03334921000189,957,sucesso,25084515000148/pedidos/03334921000189/ressarcimento/recibo_034331786430102511192143.pdf,25084515000148/pedidos/03334921000189/ressarcimento/034331786430102511192143.pdf
False,,362954920831102511194797,ressarcimento,03334921000189,,,,
False,,274161539331102511196648,ressarcimento,03334921000189,,,,
False,,049597511531102511190332,ressarcimento,03334921000189,,,,
